,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1343,Tyre Phillips ,BAL,23,g,12,8,,,,,,0,0,1,13,0,0.0,,,,,,
1344,Ethan Pocic,SEA,25,C,14,14,,,,,,0,0,1,0,0,0.0,,,,,,
1345,Troymaine Pope,LAC,27,,6,0,,,,,,0,0,1,0,0,0.0,,,,,,
1346,MyCole Pruitt,TEN,28,te,11,4,,,,,,0,0,1,3,1,0.0,,,,,,
1347,Frank Ragnow*,DET,24,C,14,14,,,,,,0,1,1,-5,0,0.0,,,,,,
1348,Jalen Reagor ,PHI,21,WR,11,11,,,,,,0,2,1,0,0,0.0,,,,,,
1349,J.R. Reed,LAR,24,,7,0,,,,,,,,,,,0.0,2,0,2,0,0,
1350,Riley Reiff,MIN,32,T,15,15,,,,,,0,0,2,0,0,0.0,,,,,,
1351,Josh Reynolds,LAR,25,WR,16,13,,,,,,0,2,2,-2,0,0.0,,,,,,
1352,Cam Robinson ,JAX,25,T,16,16,,,,,,0,0,1,0,0,0.0,,,,,,
1353,James Robinson,JAX,22,RB,14,14,,,,,,0,3,1,0,0,0.0,,,,,,
1354,Kenny Robinson Jr.,CAR,21,,9,0,,,,,,,,,,,0.0,1,0,1,0,0,
1355,Aaron Rodgers *+,GNB,37,QB,16,16,,,,,,0,4,1,-13,0,0.0,,,,,,
1356,Richard Rodgers ,PHI,28,te,14,4,,,,,,,,,,,0.0,2,0,2,0,0,
1357,Ben Roethlisberger,PIT,38,QB,15,15,,,,,,0,5,2,-13,0,0.0,,,,,,
1358,Aldrick Rosas,JAX,26,k,6,0,,,,,,0,1,1,0,0,0.0,,,,,,
1359,Kyle Rudolph ,MIN,31,TE,12,12,,,,,,0,1,1,0,0,0.0,,,,,,
1360,Henry Ruggs III,LVR,21,WR,13,12,,,,,,0,2,1,0,0,0.0,,,,,,
1361,Matt Ryan,ATL,35,QB,16,16,,,,,,0,6,1,-3,0,0.0,,,,,,
1362,Ty Sambrailo,TEN,28,t,10,5,,,,,,0,0,1,0,0,0.0,,,,,,
1363,,,,,,,,,,,,,,,,,,,,,,,
1364,Curtis Samuel ,CAR,24,wr,15,5,,,,,,0,1,1,0,0,0.0,,,,,,
1365,Miles Sanders ,PHI,23,RB,12,11,,,,,,0,4,1,7,0,0.0,,,,,,
1366,Dalton Schultz,DAL,24,TE,16,14,,,,,,0,1,1,0,0,0.0,,,,,,
1367,Isaac Seumalo,PHI,27,g,9,9,,,,,,0,0,1,0,0,0.0,,,,,,
1368,Brady Sheldon,NYJ,27,,2,0,,,,,,,,,,,0.0,1,0,1,0,0,
1369,Laviska Shenault Jr.,JAX,22,WR,14,12,,,,,,1,0,0,0,0,0.0,,,,,,
1370,Steven Sims,WAS,23,wr,12,2,,,,,,0,5,3,0,0,0.0,,,,,,
1371,Dan Skipper,DET,26,,5,0,,,,,,,,,,,0.0,1,0,1,0,0,
1372,Alex Smith,WAS,36,qb,8,6,,,,,,0,2,2,-4,0,0.0,,,,,,
1373,Braden Smith,IND,24,T,14,14,,,,,,0,0,1,0,0,0.0,,,,,,
1374,Kaden Smith,NYG,23,TE,15,12,,,,,,0,1,1,0,0,0.0,,,,,,
1375,Rodney Smith,CAR,24,rb,7,1,,,,,,0,1,1,0,0,0.0,,,,,,
1376,Terrance Smith,ARI,27,,3,0,,,,,,,,,,,0.0,2,0,2,0,0,
1377,Tre'Quan Smith,NOR,24,wr,14,10,,,,,,0,1,2,0,0,0.0,,,,,,
1378,JuJu Smith-Schuster,PIT,24,WR,16,14,,,,,,0,3,2,0,0,0.0,,,,,,
1379,Diontae Spencer,DEN,28,,11,0,,,,,,0,2,2,0,0,0.0,,,,,,
1380,Matthew Stafford,DET,32,QB,16,16,,,,,,0,2,1,-1,0,0.0,,,,,,
1381,Terence Steele,DAL,23,T,16,14,,,,,,0,0,1,0,0,0.0,,,,,,
1382,Stephen Sullivan,SEA,24,,1,0,,,,,,,,,,,0.0,1,0,1,0,0,
1383,Geoff Swaim,TEN,27,te,10,8,,,,,,,,,,,0.0,1,0,1,0,0,
1384,Tua Tagovailoa ,MIA,22,qb,10,9,,,,,,0,1,1,0,0,0.0,,,,,,
1385,Ryan Tannehill,TEN,32,QB,16,16,,,,,,0,6,3,-19,0,0.0,,,,,,
1386,Andrew Thomas ,NYG,21,T,16,15,,,,,,0,0,1,0,0,0.0,,,,,,
1387,Logan Thomas,WAS,29,TE,16,15,,,,,,0,0,1,0,0,0.0,,,,,,
1388,Solomon Thomas ,SFO,25,de,2,2,,,,,,,,,,,0.0,2,0,2,0,0,
1389,Laken Tomlinson,SFO,28,G,16,16,,,,,,0,0,1,0,0,0.0,,,,,,
1390,Casey Toohill,2TM,24,,9,0,,,,,,,,,,,0.0,2,0,2,0,1,
1391,Mitchell Trubisky ,CHI,26,qb,10,9,,,,,,0,6,3,0,0,0.0,,,,,,
1392,Ke'Shawn Vaughn ,TAM,23,,10,0,,,,,,0,1,1,0,0,0.0,,,,,,
1393,Alejandro Villanueva,PIT,32,T,16,16,,,,,,0,0,1,0,0,0.0,,,,,,
1394,,,,,,,,,,,,,,,,,,,,,,,
1395,Phillip Walker ,CAR,25,qb,4,1,,,,,,0,1,1,-1,0,0.0,,,,,,
1396,Broderick Washington Jr.,BAL,24,,8,0,,,,,,,,,,,0.0,2,0,2,0,0,
1397,Sammy Watkins,KAN,27,wr,10,9,,,,,,1,1,0,0,0,0.0,,,,,,
1398,Deshaun Watson *,HOU,25,QB,16,16,,,,,,0,8,2,-13,0,0.0,,,,,,
1399,Carson Wentz ,PHI,28,QB,12,12,,,,,,0,10,4,-17,0,0.0,,,,,,
1400,Chad Wheeler,SEA,26,,5,0,,,,,,0,0,1,0,0,0.0,,,,,,
1401,James White ,NWE,28,,14,0,,,,,,0,1,1,0,0,0.0,,,,,,
1402,Darrel Williams,KAN,25,,16,0,,,,,,0,0,1,0,0,0.0,,,,,,
1403,Jarren Williams,NYG,23,,2,0,,,,,,,,,,,0.0,1,0,1,0,0,
1404,Mike Williams ,LAC,26,WR,15,11,1,0,0,0,1,0,0,1,0,0,0.0,,,,,,
1405,Jeff Wilson,SFO,25,rb,12,3,,,,,,0,2,1,0,0,0.0,,,,,,
1406,Javon Wims,CHI,26,wr,13,1,,,,,,,,,,,0.0,1,0,1,0,0,
1407,Isaiah Wynn,NWE,25,t,10,10,,,,,,0,0,1,0,0,0.0,,,,,,
1408,T.J. Yeldon,BUF,27,,3,0,,,,,,0,1,1,0,0,0.0,,,,,,
1409,Brandon Zylstra,CAR,27,wr,16,2,,,,,,0,0,1,0,1,0.0,,,,,,
